game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
33,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,15,13,2
34,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,9,9,30,14,8,6
35,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,4,4,30,13,10,3
36,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J1,5,30,30,5,5,4,1
37,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,12,12,30,14,7,7
38,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,21,21,30,29,16,13
39,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,17,17,30,10,4,6
40,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,13,13,30,27,21,6
41,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,13,13,30,21,10,11
42,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,16,16,30,23,12,11
43,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,15,15,30,26,19,7
44,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,8,4,4
45,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J1,1,30,30,1,1,1,0
46,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,13,13,30,16,8,8
47,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,10,10,30,18,16,2
48,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,6,6,30,6,3,3
49,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,14,10,4
50,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,4,4,30,8,6,2
51,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,0,0,30,0,0,0
52,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,14,14,30,13,8,5
53,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,10,10,30,16,10,6
54,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,24,24,30,22,12,10
55,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,4,4,30,6,3,3
56,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,9,9,30,15,11,4
57,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,5,5,30,11,7,4
58,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,29,29,30,28,16,12
59,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,2,2,30,3,1,2
60,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,24,24,30,25,13,12
61,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,13,13,30,15,8,7
62,rational,q_learning,N/A,C:\Users\Ramiro\Desktop\Truco-AI\game\agents\RL-Agents\q_tables\q_table_ep49019.pkl,J0,30,12,12,30,15,8,7
