game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
910,sb3,random,J0,30,12,12,30,11,10,1
911,sb3,random,J1,21,30,30,21,14,10,4
912,sb3,random,J1,12,30,30,12,13,11,2
913,sb3,random,J0,30,27,27,30,15,12,3
914,sb3,random,J1,17,30,30,17,10,7,3
915,sb3,random,J0,30,0,0,30,0,0,0
916,sb3,random,J0,30,21,21,30,13,8,5
917,sb3,random,J1,23,30,30,23,14,10,4
918,sb3,random,J0,30,17,17,30,12,10,2
919,sb3,random,J0,30,6,6,30,9,9,0
920,sb3,random,J1,23,30,30,23,17,14,3
921,sb3,random,J0,30,13,13,30,12,11,1
922,sb3,random,J0,30,23,23,30,17,13,4
923,sb3,random,J1,25,30,30,25,19,13,6
924,sb3,random,J1,28,30,30,28,17,12,5
925,sb3,random,J0,30,22,22,30,17,14,3
926,sb3,random,J1,14,30,30,14,9,6,3
927,sb3,random,J1,19,30,30,19,13,9,4
928,sb3,random,J1,19,30,30,19,15,10,5
929,sb3,random,J0,30,27,27,30,15,12,3
930,sb3,random,J1,15,30,30,15,8,7,1
931,sb3,random,J0,30,28,28,30,16,10,6
932,sb3,random,J0,30,23,23,30,12,8,4
933,sb3,random,J0,30,18,18,30,13,11,2
934,sb3,random,J1,13,30,30,13,11,9,2
935,sb3,random,J0,30,24,24,30,15,13,2
936,sb3,random,J1,26,30,30,26,17,12,5
937,sb3,random,J1,18,30,30,18,14,9,5
938,sb3,random,J1,29,30,30,29,16,15,1
939,sb3,random,J0,30,17,17,30,13,11,2
940,sb3,random,J0,30,14,14,30,11,10,1
941,sb3,random,J1,27,30,30,27,17,13,4
942,sb3,random,J0,30,20,20,30,13,12,1
943,sb3,random,J1,16,30,30,16,13,6,7
944,sb3,random,J1,25,30,30,25,12,10,2
945,sb3,random,J0,30,21,21,30,14,10,4
946,sb3,random,J0,30,29,29,30,15,11,4
947,sb3,random,J1,27,30,30,27,16,12,4
948,sb3,random,J1,16,30,30,16,17,12,5
949,sb3,random,J1,21,30,30,21,14,11,3
950,sb3,random,J0,30,26,26,30,13,8,5
951,sb3,random,J0,30,13,13,30,12,10,2
952,sb3,random,J0,30,20,20,30,15,12,3
953,sb3,random,J0,30,29,29,30,16,9,7
954,sb3,random,J0,30,25,25,30,19,17,2
955,sb3,random,J0,30,20,20,30,12,9,3
956,sb3,random,J1,24,30,30,24,15,9,6
957,sb3,random,J0,30,26,26,30,16,14,2
958,sb3,random,J1,24,30,30,24,14,9,5
959,sb3,random,J1,26,30,30,26,15,8,7
960,sb3,random,J0,30,19,19,30,14,11,3
961,sb3,random,J1,7,30,30,7,4,2,2
962,sb3,random,J1,18,30,30,18,13,8,5
963,sb3,random,J1,18,30,30,18,14,12,2
964,sb3,random,J1,22,30,30,22,14,11,3
965,sb3,random,J1,28,30,30,28,17,12,5
966,sb3,random,J1,16,30,30,16,9,7,2
