game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
852,q_learning,sb3,J1,22,30,30,22,19,12,7
853,q_learning,sb3,J1,28,30,30,28,22,14,8
854,q_learning,sb3,J0,30,25,25,30,20,12,8
855,q_learning,sb3,J1,25,30,30,25,18,9,9
856,q_learning,sb3,J1,16,30,30,16,16,5,11
857,q_learning,sb3,J1,27,30,30,27,20,11,9
858,q_learning,sb3,J0,30,29,29,30,21,12,9
859,q_learning,sb3,J0,30,28,28,30,20,9,11
860,q_learning,sb3,J1,22,30,30,22,18,8,10
861,q_learning,sb3,J1,24,30,30,24,19,9,10
862,q_learning,sb3,J1,24,30,30,24,15,7,8
863,q_learning,sb3,J1,23,30,30,23,19,10,9
864,q_learning,sb3,J0,30,26,26,30,18,9,9
865,q_learning,sb3,J1,26,30,30,26,20,10,10
866,q_learning,sb3,J0,30,26,26,30,22,11,11
867,q_learning,sb3,J1,18,30,30,18,16,9,7
868,q_learning,sb3,J0,30,26,26,30,20,12,8
869,q_learning,sb3,J1,19,30,30,19,19,6,13
870,q_learning,sb3,J1,15,30,30,15,17,5,12
871,q_learning,sb3,J1,21,30,30,21,20,10,10
872,q_learning,sb3,J1,22,30,30,22,16,8,8
873,q_learning,sb3,J1,23,30,30,23,17,10,7
874,q_learning,sb3,J0,30,26,26,30,19,10,9
875,q_learning,sb3,J1,22,30,30,22,18,11,7
876,q_learning,sb3,J1,9,30,30,9,13,2,11
877,q_learning,sb3,J1,22,30,30,22,16,7,9
878,q_learning,sb3,J1,25,30,30,25,18,10,8
879,q_learning,sb3,J0,30,29,29,30,20,10,10
880,q_learning,sb3,J1,17,30,30,17,16,8,8
881,q_learning,sb3,J1,16,30,30,16,15,5,10
882,q_learning,sb3,J1,27,30,30,27,21,13,8
883,q_learning,sb3,J0,30,26,26,30,20,9,11
884,q_learning,sb3,J0,30,23,23,30,19,13,6
885,q_learning,sb3,J1,14,30,30,14,14,4,10
886,q_learning,sb3,J0,30,26,26,30,19,10,9
887,q_learning,sb3,J0,30,28,28,30,20,14,6
888,q_learning,sb3,J1,29,30,30,29,21,12,9
889,q_learning,sb3,J1,18,30,30,18,16,6,10
890,q_learning,sb3,J0,30,26,26,30,21,12,9
891,q_learning,sb3,J1,24,30,30,24,18,11,7
892,q_learning,sb3,J1,20,30,30,20,16,6,10
893,q_learning,sb3,J0,30,26,26,30,18,7,11
894,q_learning,sb3,J1,20,30,30,20,16,9,7
895,q_learning,sb3,J1,10,30,30,10,12,4,8
896,q_learning,sb3,J1,18,30,30,18,16,6,10
897,q_learning,sb3,J1,19,30,30,19,17,10,7
898,q_learning,sb3,J1,18,30,30,18,17,8,9
899,q_learning,sb3,J1,18,30,30,18,18,7,11
900,q_learning,sb3,J1,22,30,30,22,18,9,9
901,q_learning,sb3,J0,30,29,29,30,20,11,9
902,q_learning,sb3,J1,26,30,30,26,18,12,6
903,q_learning,sb3,J0,30,27,27,30,19,12,7
904,q_learning,sb3,J1,18,30,30,18,16,4,12
905,q_learning,sb3,J0,30,20,20,30,16,9,7
906,q_learning,sb3,J0,30,22,22,30,18,10,8
907,q_learning,sb3,J1,22,30,30,22,20,12,8
908,q_learning,sb3,J1,8,30,30,8,13,1,12
909,q_learning,sb3,J0,30,27,27,30,21,14,7
910,q_learning,sb3,J1,29,30,30,29,20,11,9
911,q_learning,sb3,J0,30,27,27,30,22,15,7
912,q_learning,sb3,J0,30,29,29,30,20,12,8
913,q_learning,sb3,J1,14,30,30,14,16,7,9
914,q_learning,sb3,J1,27,30,30,27,19,11,8
915,q_learning,sb3,J1,20,30,30,20,17,10,7
916,q_learning,sb3,J1,22,30,30,22,19,10,9
917,q_learning,sb3,J0,30,17,17,30,16,10,6
918,q_learning,sb3,J0,30,24,24,30,19,13,6
919,q_learning,sb3,J0,30,27,27,30,22,14,8
920,q_learning,sb3,J0,30,27,27,30,20,11,9
921,q_learning,sb3,J0,30,26,26,30,20,13,7
922,q_learning,sb3,J0,30,24,24,30,18,12,6
923,q_learning,sb3,J1,22,30,30,22,18,10,8
924,q_learning,sb3,J0,30,29,29,30,21,14,7
925,q_learning,sb3,J0,30,23,23,30,18,12,6
926,q_learning,sb3,J0,30,27,27,30,20,10,10
927,q_learning,sb3,J1,14,30,30,14,15,5,10
928,q_learning,sb3,J1,25,30,30,25,20,9,11
929,q_learning,sb3,J0,30,28,28,30,20,10,10
930,q_learning,sb3,J1,27,30,30,27,21,13,8
931,q_learning,sb3,J1,16,30,30,16,15,8,7
932,q_learning,sb3,J1,29,30,30,29,16,8,8
933,q_learning,sb3,J1,12,30,30,12,16,5,11
934,q_learning,sb3,J0,30,22,22,30,17,10,7
935,q_learning,sb3,J1,25,30,30,25,20,12,8
936,q_learning,sb3,J1,16,30,30,16,15,5,10
937,q_learning,sb3,J1,27,30,30,27,19,10,9
938,q_learning,sb3,J1,23,30,30,23,21,10,11
939,q_learning,sb3,J0,30,28,28,30,23,13,10
940,q_learning,sb3,J1,21,30,30,21,19,11,8
941,q_learning,sb3,J1,15,30,30,15,17,8,9
942,q_learning,sb3,J0,30,26,26,30,19,13,6
943,q_learning,sb3,J0,30,27,27,30,21,11,10
944,q_learning,sb3,J1,21,30,30,21,16,7,9
945,q_learning,sb3,J0,30,27,27,30,19,12,7
946,q_learning,sb3,J0,30,28,28,30,20,13,7
947,q_learning,sb3,J1,15,30,30,15,16,7,9
948,q_learning,sb3,J0,30,27,27,30,21,12,9
949,q_learning,sb3,J1,14,30,30,14,16,9,7
950,q_learning,sb3,J1,26,30,30,26,21,11,10
951,q_learning,sb3,J0,30,20,20,30,13,9,4
952,q_learning,sb3,J1,21,30,30,21,16,6,10
953,q_learning,sb3,J1,10,30,30,10,14,2,12
