game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
405,13,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,3,3,0,6,33,-27,1,J1,6-2|3-0,2-0|6-3|7-3,,,,,,,,,QUIERO,accept,J1,rational,6,21,6,30,0,9,0,,
406,1,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,1,25,-24,1,J0,11-0|12-3|1-2,3-0|4-1,,,,,,,,,NO_QUIERO,decline,J1,rational,0,0,1,0,1,0,1,,
406,2,random,rational,envido,J1,1,rational,J0,random,ENVIDO,1,,0,0,0,29,24,5,0,J1,7-2|10-3|2-2,4-3|11-3,,,,,,,,,NO_QUIERO,decline,J0,random,1,1,1,2,0,1,1,,
406,3,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,31,21,10,0,J0,5-0|12-2|6-0,1-3|10-3,,,,,,,,,NO_QUIERO,decline,J1,rational,1,3,2,3,1,0,1,,
406,6,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,24,23,1,1,J0,1-2|5-0|3-2,6-0|3-3|10-3,,,,,,,,,NO_QUIERO,decline,J1,rational,2,7,3,7,1,0,1,,
406,6,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,1-2,3-3,8.0,8.0,8.0,10.0,10.0,10.0,-2.0,1,QUIERO,accept,J1,rational,3,7,3,9,0,2,0,J1,0
406,8,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,4-1,3-2,1.0,1.0,1.0,10.0,10.0,10.0,-9.0,1,QUIERO,accept,J1,rational,3,10,3,12,0,2,0,J1,0
406,9,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,3-0|5-0,7-1,10.0,6.0,12.0,4.0,4.0,4.0,2.0,0,NO_QUIERO,decline,J1,rational,3,12,4,12,1,0,1,J0,1
406,10,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,20,28,-8,1,J1,3-3|11-0|10-0,6-0|7-3|1-3,,,,,,,,,QUIERO,accept,J1,rational,4,12,4,14,0,2,0,,
406,10,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,3-3|11-0|10-0,6-0|7-3|1-3,10.0,7.0,16.0,8.0,5.0,12.0,2.0,0,QUIERO,accept,J1,rational,4,14,6,14,2,0,2,J0,1
406,12,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,12-3|5-0|12-2,1-3|11-2|3-3,7.0,5.333333333333333,14.0,10.0,8.0,18.0,-2.666666666666667,1,QUIERO,accept,J1,rational,6,15,6,17,0,2,0,J1,0
406,15,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,26,23,3,0,J0,5-0|1-0|1-3,12-1|12-2,,,,,,,,,NO_QUIERO,decline,J1,rational,7,18,8,18,1,0,1,,
406,16,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,7-0,,12.0,12.0,12.0,0.0,0.0,0.0,12.0,0,NO_QUIERO,decline,J1,rational,8,19,9,19,1,0,1,J0,1
406,19,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,28,23,5,0,J0,7-2|2-3|1-2,3-2|11-2,,,,,,,,,NO_QUIERO,decline,J1,rational,9,21,10,21,1,0,1,,
406,21,random,rational,envido,J0,0,random,J1,rational,ENVIDO,1,,0,0,0,26,4,22,0,J0,12-1|11-2|6-2,10-0|4-2,,,,,,,,,NO_QUIERO,decline,J1,rational,10,24,11,24,1,0,1,,
