game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
748,sb3,q_learning,J0,30,6,6,30,12,11,1
749,sb3,q_learning,J1,27,30,30,27,18,9,9
750,sb3,q_learning,J0,30,20,20,30,18,12,6
751,sb3,q_learning,J1,25,30,30,25,18,7,11
752,sb3,q_learning,J0,30,19,19,30,15,10,5
753,sb3,q_learning,J0,30,18,18,30,14,9,5
754,sb3,q_learning,J0,30,28,28,30,22,12,10
755,sb3,q_learning,J1,29,30,30,29,18,10,8
756,sb3,q_learning,J0,30,17,17,30,14,7,7
757,sb3,q_learning,J0,30,14,14,30,17,13,4
758,sb3,q_learning,J1,28,30,30,28,15,9,6
759,sb3,q_learning,J0,30,12,12,30,15,12,3
760,sb3,q_learning,J0,30,21,21,30,17,11,6
761,sb3,q_learning,J0,30,19,19,30,16,11,5
762,sb3,q_learning,J0,30,22,22,30,19,10,9
763,sb3,q_learning,J0,30,14,14,30,12,7,5
764,sb3,q_learning,J1,26,30,30,26,16,12,4
765,sb3,q_learning,J0,30,26,26,30,16,7,9
766,sb3,q_learning,J0,30,14,14,30,17,12,5
767,sb3,q_learning,J1,25,30,30,25,16,8,8
768,sb3,q_learning,J0,30,22,22,30,18,11,7
769,sb3,q_learning,J1,25,30,30,25,18,8,10
770,sb3,q_learning,J0,30,6,6,30,14,11,3
771,sb3,q_learning,J0,30,12,12,30,17,13,4
772,sb3,q_learning,J0,30,21,21,30,15,8,7
773,sb3,q_learning,J0,30,28,28,30,21,12,9
774,sb3,q_learning,J0,30,8,8,30,14,10,4
775,sb3,q_learning,J1,22,30,30,22,18,8,10
776,sb3,q_learning,J0,30,23,23,30,18,9,9
777,sb3,q_learning,J1,29,30,30,29,19,10,9
778,sb3,q_learning,J1,15,30,30,15,15,4,11
779,sb3,q_learning,J0,30,28,28,30,17,11,6
780,sb3,q_learning,J1,19,30,30,19,15,8,7
781,sb3,q_learning,J0,30,13,13,30,15,10,5
782,sb3,q_learning,J0,30,21,21,30,15,8,7
783,sb3,q_learning,J0,30,29,29,30,17,9,8
784,sb3,q_learning,J1,29,30,30,29,16,9,7
785,sb3,q_learning,J0,30,15,15,30,16,12,4
786,sb3,q_learning,J0,30,13,13,30,17,11,6
787,sb3,q_learning,J0,30,16,16,30,16,10,6
788,sb3,q_learning,J1,29,30,30,29,20,11,9
789,sb3,q_learning,J0,30,13,13,30,15,11,4
790,sb3,q_learning,J0,30,11,11,30,14,9,5
791,sb3,q_learning,J0,30,20,20,30,18,10,8
792,sb3,q_learning,J0,30,23,23,30,18,12,6
793,sb3,q_learning,J1,21,30,30,21,14,9,5
794,sb3,q_learning,J0,30,21,21,30,20,10,10
795,sb3,q_learning,J0,30,28,28,30,19,10,9
796,sb3,q_learning,J0,30,20,20,30,17,11,6
797,sb3,q_learning,J1,20,30,30,20,14,6,8
798,sb3,q_learning,J0,30,13,13,30,14,10,4
799,sb3,q_learning,J1,23,30,30,23,17,8,9
800,sb3,q_learning,J0,30,19,19,30,18,13,5
801,sb3,q_learning,J0,30,23,23,30,15,6,9
802,sb3,q_learning,J0,30,16,16,30,15,12,3
803,sb3,q_learning,J1,19,30,30,19,14,8,6
804,sb3,q_learning,J1,26,30,30,26,21,7,14
805,sb3,q_learning,J0,30,17,17,30,18,12,6
806,sb3,q_learning,J0,30,15,15,30,17,8,9
807,sb3,q_learning,J1,28,30,30,28,20,9,11
808,sb3,q_learning,J0,30,17,17,30,16,11,5
809,sb3,q_learning,J1,27,30,30,27,18,9,9
810,sb3,q_learning,J1,25,30,30,25,17,8,9
811,sb3,q_learning,J0,30,16,16,30,14,9,5
812,sb3,q_learning,J0,30,16,16,30,13,9,4
813,sb3,q_learning,J1,22,30,30,22,16,6,10
814,sb3,q_learning,J1,18,30,30,18,13,7,6
815,sb3,q_learning,J0,30,27,27,30,17,6,11
816,sb3,q_learning,J1,25,30,30,25,17,7,10
817,sb3,q_learning,J0,30,18,18,30,16,10,6
818,sb3,q_learning,J0,30,23,23,30,18,11,7
819,sb3,q_learning,J0,30,19,19,30,18,9,9
820,sb3,q_learning,J0,30,22,22,30,16,11,5
821,sb3,q_learning,J0,30,28,28,30,19,9,10
822,sb3,q_learning,J1,9,30,30,9,9,3,6
823,sb3,q_learning,J0,30,16,16,30,17,10,7
824,sb3,q_learning,J1,29,30,30,29,20,9,11
825,sb3,q_learning,J1,26,30,30,26,20,10,10
826,sb3,q_learning,J0,30,21,21,30,16,9,7
827,sb3,q_learning,J0,30,17,17,30,17,9,8
828,sb3,q_learning,J0,30,12,12,30,17,14,3
829,sb3,q_learning,J1,28,30,30,28,18,11,7
830,sb3,q_learning,J0,30,22,22,30,18,9,9
831,sb3,q_learning,J1,23,30,30,23,15,8,7
832,sb3,q_learning,J0,30,11,11,30,14,11,3
833,sb3,q_learning,J1,25,30,30,25,19,8,11
834,sb3,q_learning,J0,30,19,19,30,17,11,6
835,sb3,q_learning,J1,29,30,30,29,17,11,6
836,sb3,q_learning,J1,27,30,30,27,17,9,8
837,sb3,q_learning,J0,30,21,21,30,14,12,2
838,sb3,q_learning,J1,24,30,30,24,20,10,10
839,sb3,q_learning,J0,30,23,23,30,19,13,6
840,sb3,q_learning,J1,25,30,30,25,16,10,6
841,sb3,q_learning,J1,18,30,30,18,14,6,8
842,sb3,q_learning,J0,30,19,19,30,17,11,6
843,sb3,q_learning,J1,25,30,30,25,17,9,8
844,sb3,q_learning,J0,30,23,23,30,16,7,9
845,sb3,q_learning,J0,30,16,16,30,18,12,6
846,sb3,q_learning,J0,30,21,21,30,17,12,5
847,sb3,q_learning,J1,18,30,30,18,16,6,10
848,sb3,q_learning,J1,16,30,30,16,13,7,6
849,sb3,q_learning,J0,30,20,20,30,17,10,7
850,sb3,q_learning,J1,16,30,30,16,12,4,8
851,sb3,q_learning,J0,30,16,16,30,17,11,6
852,sb3,q_learning,J1,29,30,30,29,18,11,7
853,sb3,q_learning,J1,27,30,30,27,18,9,9
854,sb3,q_learning,J0,30,13,13,30,15,11,4
855,sb3,q_learning,J0,30,17,17,30,15,9,6
856,sb3,q_learning,J0,30,17,17,30,18,11,7
857,sb3,q_learning,J0,30,22,22,30,17,10,7
858,sb3,q_learning,J0,30,20,20,30,18,10,8
859,sb3,q_learning,J1,28,30,30,28,18,11,7
860,sb3,q_learning,J1,7,30,30,7,9,2,7
861,sb3,q_learning,J1,27,30,30,27,15,9,6
862,sb3,q_learning,J1,23,30,30,23,19,9,10
863,sb3,q_learning,J0,30,29,29,30,19,7,12
864,sb3,q_learning,J0,30,17,17,30,18,11,7
865,sb3,q_learning,J1,25,30,30,25,18,9,9
866,sb3,q_learning,J0,30,22,22,30,18,11,7
867,sb3,q_learning,J0,30,25,25,30,17,7,10
868,sb3,q_learning,J0,30,25,25,30,20,11,9
869,sb3,q_learning,J0,30,28,28,30,16,8,8
870,sb3,q_learning,J1,28,30,30,28,17,9,8
871,sb3,q_learning,J1,22,30,30,22,17,8,9
872,sb3,q_learning,J0,30,12,12,30,14,10,4
873,sb3,q_learning,J0,30,19,19,30,18,12,6
874,sb3,q_learning,J0,30,13,13,30,13,9,4
875,sb3,q_learning,J0,30,28,28,30,18,10,8
876,sb3,q_learning,J0,30,5,5,30,9,7,2
877,sb3,q_learning,J1,29,30,30,29,20,8,12
878,sb3,q_learning,J0,30,25,25,30,19,9,10
879,sb3,q_learning,J1,24,30,30,24,17,11,6
880,sb3,q_learning,J0,30,29,29,30,22,12,10
881,sb3,q_learning,J0,30,27,27,30,15,11,4
882,sb3,q_learning,J0,30,23,23,30,20,12,8
883,sb3,q_learning,J1,26,30,30,26,20,11,9
884,sb3,q_learning,J0,30,16,16,30,17,9,8
885,sb3,q_learning,J0,30,27,27,30,20,12,8
886,sb3,q_learning,J1,26,30,30,26,17,7,10
887,sb3,q_learning,J1,23,30,30,23,19,10,9
888,sb3,q_learning,J1,29,30,30,29,19,10,9
889,sb3,q_learning,J0,30,19,19,30,16,11,5
890,sb3,q_learning,J0,30,12,12,30,12,10,2
891,sb3,q_learning,J0,30,13,13,30,12,8,4
892,sb3,q_learning,J0,30,25,25,30,17,11,6
893,sb3,q_learning,J0,30,23,23,30,16,8,8
894,sb3,q_learning,J1,25,30,30,25,16,10,6
895,sb3,q_learning,J0,30,16,16,30,16,9,7
896,sb3,q_learning,J1,27,30,30,27,19,10,9
897,sb3,q_learning,J1,28,30,30,28,19,9,10
898,sb3,q_learning,J0,30,27,27,30,17,11,6
899,sb3,q_learning,J0,30,28,28,30,22,10,12
900,sb3,q_learning,J0,30,16,16,30,15,8,7
901,sb3,q_learning,J0,30,22,22,30,17,8,9
902,sb3,q_learning,J0,30,19,19,30,18,12,6
903,sb3,q_learning,J1,19,30,30,19,14,5,9
904,sb3,q_learning,J0,30,18,18,30,17,11,6
905,sb3,q_learning,J0,30,16,16,30,14,10,4
906,sb3,q_learning,J1,29,30,30,29,15,9,6
907,sb3,q_learning,J0,30,25,25,30,17,9,8
908,sb3,q_learning,J0,30,12,12,30,13,11,2
909,sb3,q_learning,J1,19,30,30,19,15,6,9
910,sb3,q_learning,J1,23,30,30,23,20,7,13
911,sb3,q_learning,J1,29,30,30,29,19,10,9
912,sb3,q_learning,J0,30,28,28,30,16,10,6
913,sb3,q_learning,J1,21,30,30,21,12,8,4
914,sb3,q_learning,J0,30,18,18,30,16,10,6
915,sb3,q_learning,J1,26,30,30,26,21,11,10
916,sb3,q_learning,J0,30,23,23,30,18,12,6
917,sb3,q_learning,J1,20,30,30,20,14,7,7
918,sb3,q_learning,J1,23,30,30,23,19,10,9
919,sb3,q_learning,J1,27,30,30,27,17,7,10
920,sb3,q_learning,J1,29,30,30,29,17,9,8
921,sb3,q_learning,J0,30,15,15,30,17,12,5
922,sb3,q_learning,J0,30,23,23,30,18,8,10
923,sb3,q_learning,J0,30,26,26,30,18,11,7
924,sb3,q_learning,J1,19,30,30,19,16,7,9
925,sb3,q_learning,J0,30,18,18,30,14,9,5
926,sb3,q_learning,J1,24,30,30,24,15,6,9
927,sb3,q_learning,J1,24,30,30,24,14,9,5
928,sb3,q_learning,J1,27,30,30,27,20,11,9
929,sb3,q_learning,J0,30,25,25,30,18,11,7
930,sb3,q_learning,J1,29,30,30,29,18,11,7
931,sb3,q_learning,J0,30,23,23,30,16,10,6
932,sb3,q_learning,J1,18,30,30,18,14,6,8
933,sb3,q_learning,J1,23,30,30,23,15,7,8
934,sb3,q_learning,J0,30,19,19,30,15,11,4
935,sb3,q_learning,J1,28,30,30,28,19,9,10
936,sb3,q_learning,J0,30,25,25,30,17,9,8
937,sb3,q_learning,J0,30,14,14,30,16,9,7
938,sb3,q_learning,J0,30,20,20,30,17,11,6
939,sb3,q_learning,J1,25,30,30,25,15,6,9
940,sb3,q_learning,J0,30,27,27,30,21,9,12
941,sb3,q_learning,J0,30,19,19,30,16,11,5
942,sb3,q_learning,J0,30,13,13,30,14,8,6
943,sb3,q_learning,J1,25,30,30,25,17,9,8
944,sb3,q_learning,J0,30,20,20,30,17,10,7
945,sb3,q_learning,J1,25,30,30,25,18,10,8
946,sb3,q_learning,J1,28,30,30,28,18,10,8
947,sb3,q_learning,J1,25,30,30,25,13,8,5
948,sb3,q_learning,J0,30,23,23,30,20,12,8
949,sb3,q_learning,J0,30,19,19,30,15,11,4
950,sb3,q_learning,J1,23,30,30,23,16,7,9
951,sb3,q_learning,J0,30,25,25,30,16,10,6
952,sb3,q_learning,J0,30,22,22,30,15,7,8
953,sb3,q_learning,J1,28,30,30,28,19,9,10
954,sb3,q_learning,J0,30,25,25,30,20,11,9
955,sb3,q_learning,J0,30,22,22,30,19,13,6
956,sb3,q_learning,J0,30,21,21,30,17,10,7
957,sb3,q_learning,J1,27,30,30,27,17,9,8
958,sb3,q_learning,J1,22,30,30,22,16,8,8
959,sb3,q_learning,J0,30,21,21,30,17,10,7
960,sb3,q_learning,J0,30,22,22,30,16,9,7
961,sb3,q_learning,J0,30,18,18,30,17,10,7
962,sb3,q_learning,J1,29,30,30,29,20,10,10
963,sb3,q_learning,J0,30,16,16,30,16,11,5
964,sb3,q_learning,J1,20,30,30,20,15,5,10
965,sb3,q_learning,J0,30,15,15,30,15,11,4
966,sb3,q_learning,J0,30,19,19,30,19,9,10
967,sb3,q_learning,J1,27,30,30,27,21,10,11
968,sb3,q_learning,J0,30,19,19,30,15,12,3
969,sb3,q_learning,J0,30,24,24,30,16,9,7
970,sb3,q_learning,J1,29,30,30,29,19,11,8
971,sb3,q_learning,J1,24,30,30,24,19,10,9
972,sb3,q_learning,J0,30,23,23,30,21,15,6
973,sb3,q_learning,J1,19,30,30,19,16,6,10
974,sb3,q_learning,J1,22,30,30,22,16,9,7
975,sb3,q_learning,J1,27,30,30,27,23,12,11
976,sb3,q_learning,J0,30,14,14,30,16,10,6
977,sb3,q_learning,J0,30,18,18,30,16,8,8
978,sb3,q_learning,J0,30,13,13,30,13,8,5
979,sb3,q_learning,J1,26,30,30,26,15,7,8
980,sb3,q_learning,J0,30,22,22,30,16,12,4
981,sb3,q_learning,J0,30,16,16,30,15,10,5
982,sb3,q_learning,J1,18,30,30,18,14,5,9
983,sb3,q_learning,J1,15,30,30,15,13,4,9
984,sb3,q_learning,J1,26,30,30,26,16,9,7
985,sb3,q_learning,J1,23,30,30,23,18,9,9
986,sb3,q_learning,J0,30,23,23,30,17,10,7
987,sb3,q_learning,J0,30,18,18,30,16,10,6
988,sb3,q_learning,J0,30,26,26,30,17,11,6
989,sb3,q_learning,J0,30,28,28,30,19,10,9
990,sb3,q_learning,J1,14,30,30,14,13,3,10
991,sb3,q_learning,J1,26,30,30,26,17,7,10
992,sb3,q_learning,J1,27,30,30,27,18,9,9
993,sb3,q_learning,J1,22,30,30,22,14,8,6
994,sb3,q_learning,J1,27,30,30,27,15,7,8
995,sb3,q_learning,J1,27,30,30,27,20,11,9
996,sb3,q_learning,J1,28,30,30,28,19,11,8
997,sb3,q_learning,J0,30,21,21,30,20,12,8
998,sb3,q_learning,J1,17,30,30,17,14,6,8
999,sb3,q_learning,J1,28,30,30,28,16,11,5
1000,sb3,q_learning,J1,18,30,30,18,18,7,11
