game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
761,random,sb3_league,N/A,N/A,J1,6,30,30,6,13,2,11
762,random,sb3_league,N/A,N/A,J1,3,30,30,3,10,0,10
763,random,sb3_league,N/A,N/A,J1,10,30,30,10,5,1,4
764,random,sb3_league,N/A,N/A,J0,30,15,15,30,10,2,8
765,random,sb3_league,N/A,N/A,J1,9,30,30,9,10,2,8
766,random,sb3_league,N/A,N/A,J1,9,30,30,9,14,3,11
767,random,sb3_league,N/A,N/A,J1,12,30,30,12,12,1,11
768,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,1,9
769,random,sb3_league,N/A,N/A,J1,3,30,30,3,7,0,7
770,random,sb3_league,N/A,N/A,J1,16,30,30,16,9,3,6
771,random,sb3_league,N/A,N/A,J1,10,30,30,10,11,0,11
772,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,1,10
773,random,sb3_league,N/A,N/A,J1,18,30,30,18,14,3,11
774,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,0,11
775,random,sb3_league,N/A,N/A,J1,15,30,30,15,13,2,11
776,random,sb3_league,N/A,N/A,J1,16,30,30,16,12,2,10
777,random,sb3_league,N/A,N/A,J1,12,30,30,12,12,1,11
778,random,sb3_league,N/A,N/A,J1,23,30,30,23,15,3,12
779,random,sb3_league,N/A,N/A,J1,5,30,30,5,8,1,7
780,random,sb3_league,N/A,N/A,J1,2,30,30,2,10,0,10
781,random,sb3_league,N/A,N/A,J1,17,30,30,17,15,4,11
782,random,sb3_league,N/A,N/A,J1,6,30,30,6,10,0,10
783,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,2,9
784,random,sb3_league,N/A,N/A,J1,11,30,30,11,12,3,9
785,random,sb3_league,N/A,N/A,J1,18,30,30,18,12,1,11
786,random,sb3_league,N/A,N/A,J0,30,1,1,30,1,0,1
787,random,sb3_league,N/A,N/A,J1,4,30,30,4,15,0,15
788,random,sb3_league,N/A,N/A,J1,8,30,30,8,11,0,11
789,random,sb3_league,N/A,N/A,J1,7,30,30,7,12,0,12
