game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
33,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,15,15,30,8,4,4
34,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,19,19,30,8,1,7
35,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,7,7,30,6,2,4
36,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,0,30,30,0,0,0,0
37,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,1,1,30,1,0,1
38,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,0,0,30,0,0,0
39,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,5,30,30,5,14,2,12
40,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,23,23,30,17,5,12
41,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,11,30,30,11,6,3,3
42,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,28,30,30,28,15,1,14
43,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,1,30,30,1,1,0,1
44,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,4,30,30,4,10,2,8
45,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,0,30,30,0,0,0,0
46,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,23,30,30,23,18,7,11
47,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,10,30,30,10,10,2,8
48,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,9,30,30,9,9,1,8
49,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,7,30,30,7,10,1,9
50,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,2,2,30,2,0,2
51,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,16,30,30,16,6,3,3
52,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,10,30,30,10,13,3,10
53,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,14,30,30,14,14,3,11
54,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,7,7,30,3,0,3
55,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,12,30,30,12,5,1,4
56,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J0,30,19,19,30,10,5,5
57,random,q_learning,N/A,/home/renzo/Escritorio/fac/IA1/Truco-AI/game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,J1,9,30,30,9,15,3,12
