game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
36,q_learning,sb3_league,3,12,0,2,8,19,2,1
37,q_learning,sb3_league,6,13,0,6,14,9,3,4
38,q_learning,sb3_league,13,14,1,2,5,0,1,4
39,q_learning,sb3_league,15,8,0,7,6,12,1,0
40,q_learning,sb3_league,4,8,0,3,9,16,2,3
41,q_learning,sb3_league,1,12,0,10,19,5,1,5
42,q_learning,sb3_league,6,14,0,1,18,11,0,1
43,q_learning,sb3_league,9,8,0,8,26,3,0,1
44,q_learning,sb3_league,2,8,1,2,23,7,0,0
45,q_learning,sb3_league,4,8,0,0,18,12,0,0
46,q_learning,sb3_league,9,8,1,1,14,12,2,2
47,q_learning,sb3_league,23,7,0,0,1,0,0,0
48,q_learning,sb3_league,0,12,0,4,28,2,0,0
49,q_learning,sb3_league,3,8,0,4,5,22,1,2
50,q_learning,sb3_league,2,0,0,5,5,20,0,5
51,q_learning,sb3_league,7,12,0,7,8,18,1,3
52,q_learning,sb3_league,7,4,0,8,5,20,1,4
53,q_learning,sb3_league,2,10,0,1,8,20,1,1
54,q_learning,sb3_league,0,12,0,0,24,4,1,1
55,q_learning,sb3_league,2,8,1,0,7,21,0,2
56,q_learning,sb3_league,7,12,0,1,7,16,3,4
57,q_learning,sb3_league,1,2,0,0,27,3,0,0
58,q_learning,sb3_league,6,10,0,4,12,16,0,2
59,q_learning,sb3_league,4,8,0,8,12,16,1,1
60,q_learning,sb3_league,10,14,0,0,8,19,1,2
61,q_learning,sb3_league,28,0,0,2,0,0,0,0
62,q_learning,sb3_league,6,8,0,9,12,14,2,2
63,q_learning,sb3_league,8,8,1,4,9,16,2,3
64,q_learning,sb3_league,9,9,0,2,17,4,4,5
65,q_learning,sb3_league,16,7,0,7,3,8,0,1
66,q_learning,sb3_league,1,8,0,0,25,0,0,5
67,q_learning,sb3_league,8,12,0,6,14,13,1,2
68,q_learning,sb3_league,16,8,0,6,4,7,1,0
69,q_learning,sb3_league,6,8,0,3,12,16,2,0
70,q_learning,sb3_league,7,14,0,1,15,12,2,1
71,q_learning,sb3_league,6,2,0,0,5,24,0,1
72,q_learning,sb3_league,18,12,0,0,5,0,0,1
73,q_learning,sb3_league,3,8,0,4,7,19,0,4
74,q_learning,sb3_league,24,6,0,0,0,4,0,1
75,q_learning,sb3_league,24,0,0,6,0,8,0,2
76,q_learning,sb3_league,8,0,0,4,5,22,0,3
77,q_learning,sb3_league,2,0,0,1,27,3,0,0
78,q_learning,sb3_league,10,6,0,6,6,23,0,1
79,q_learning,sb3_league,3,11,0,7,24,4,1,1
80,q_learning,sb3_league,8,0,0,12,6,16,0,8
81,q_learning,sb3_league,22,4,0,4,1,0,1,2
82,q_learning,sb3_league,9,12,0,0,10,16,1,3
83,q_learning,sb3_league,5,2,0,8,7,18,0,5
84,q_learning,sb3_league,6,4,0,6,6,16,2,6
85,q_learning,sb3_league,6,8,0,6,10,16,1,3
86,q_learning,sb3_league,4,10,0,9,14,12,1,3
87,q_learning,sb3_league,5,14,0,0,5,22,1,2
88,q_learning,sb3_league,2,8,0,1,27,3,0,0
89,q_learning,sb3_league,21,8,0,1,0,12,0,2
90,q_learning,sb3_league,8,8,1,4,7,20,2,1
91,q_learning,sb3_league,5,4,0,5,10,16,1,3
92,q_learning,sb3_league,2,6,1,0,26,2,2,0
93,q_learning,sb3_league,0,4,0,1,12,16,2,0
94,q_learning,sb3_league,4,8,1,0,26,0,0,4
95,q_learning,sb3_league,4,4,0,0,6,20,0,4
96,q_learning,sb3_league,26,4,0,0,0,0,0,0
97,q_learning,sb3_league,5,2,0,0,24,0,1,5
98,q_learning,sb3_league,4,0,0,9,6,16,1,7
99,q_learning,sb3_league,13,8,2,4,5,22,2,1
100,q_learning,sb3_league,0,4,0,4,27,3,0,0
