timesteps,policy_gradient_loss,value_loss,entropy_loss,loss
786433,-4.098293e-03,8.193542e-01,-1.062797e+00,3.442676e-01
790529,-5.454513e-03,8.568206e-01,-1.035284e+00,3.562672e-01
794625,-3.712210e-03,7.722000e-01,-1.019040e+00,3.072840e-01
798721,-4.216788e-03,8.007786e-01,-1.035863e+00,3.467540e-01
802817,-3.145595e-03,7.639462e-01,-1.023308e+00,3.285246e-01
806913,-4.114837e-03,7.667172e-01,-1.041188e+00,3.328693e-01
811009,-2.909571e-03,7.531826e-01,-1.039290e+00,3.248289e-01
815105,-4.031005e-03,7.174973e-01,-1.043479e+00,3.004209e-01
819201,-4.630820e-03,7.513551e-01,-1.039289e+00,3.324566e-01
823297,-3.983579e-03,7.144480e-01,-1.070740e+00,2.812369e-01
827393,-4.438127e-03,6.837488e-01,-1.070760e+00,2.788230e-01
831489,-4.968106e-03,7.948996e-01,-1.067325e+00,3.215302e-01
835585,-3.599839e-03,8.118203e-01,-1.127401e+00,3.508215e-01
839681,-2.723915e-03,7.829002e-01,-1.128493e+00,3.411031e-01
843777,-4.873614e-03,7.458661e-01,-1.127169e+00,3.253403e-01
847873,-4.157528e-03,7.914355e-01,-1.104898e+00,3.175116e-01
851969,-3.647786e-03,8.034570e-01,-1.085353e+00,3.383030e-01
856065,-4.455676e-03,8.097691e-01,-1.101900e+00,3.293811e-01
860161,-5.094523e-03,8.565308e-01,-1.097713e+00,3.888173e-01
864257,-4.270259e-03,7.275806e-01,-1.103941e+00,2.764296e-01
868353,-3.985591e-03,8.141424e-01,-1.107518e+00,3.328375e-01
872449,-4.470673e-03,7.804626e-01,-1.112875e+00,3.243012e-01
876545,-3.704958e-03,7.526573e-01,-1.128038e+00,3.500193e-01
880641,-4.268999e-03,7.137616e-01,-1.100997e+00,3.040637e-01
884737,-4.403338e-03,7.208283e-01,-1.132865e+00,3.063194e-01
888833,-2.819621e-03,6.465424e-01,-1.114854e+00,2.297747e-01
892929,-4.532127e-03,6.686372e-01,-1.134504e+00,2.497801e-01
897025,-4.033537e-03,6.630532e-01,-1.107198e+00,2.823914e-01
901121,-3.099987e-03,6.298465e-01,-1.149442e+00,2.313452e-01
905217,-6.146977e-03,7.296895e-01,-1.112140e+00,2.883462e-01
909313,-4.266775e-03,6.747476e-01,-1.088144e+00,2.749973e-01
913409,-4.344200e-03,6.918484e-01,-1.071105e+00,2.946353e-01
917505,-5.050460e-03,7.378226e-01,-1.076037e+00,3.320887e-01
921601,-5.220717e-03,7.339649e-01,-1.046907e+00,3.033893e-01
925697,-4.363954e-03,7.270113e-01,-1.048491e+00,3.183219e-01
929793,-4.042136e-03,7.364505e-01,-1.062357e+00,2.905135e-01
933889,-3.240150e-03,7.729878e-01,-1.040301e+00,3.296888e-01
937985,-4.047627e-03,7.394584e-01,-1.049107e+00,3.192712e-01
942081,-5.210640e-03,7.509585e-01,-1.046508e+00,3.184943e-01
946177,-2.989793e-03,8.069228e-01,-1.033308e+00,3.332094e-01
950273,-3.105048e-03,7.677259e-01,-1.033593e+00,3.216282e-01
954369,-2.989175e-03,7.924958e-01,-1.035799e+00,3.369153e-01
958465,-4.867851e-03,8.408364e-01,-1.063191e+00,3.306788e-01
962561,-4.309715e-03,7.310964e-01,-1.039894e+00,3.219930e-01
966657,-4.594724e-03,7.056192e-01,-1.037143e+00,3.083650e-01
970753,-3.500894e-03,7.371380e-01,-1.041637e+00,2.925061e-01
