game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
967,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,4,1
968,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,3,2
969,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,12,6,6
970,sb3_league,sb3_league,N/A,N/A,J0,30,23,23,30,13,5,8
971,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,7,1,6
972,sb3_league,sb3_league,N/A,N/A,J1,22,30,30,22,12,4,8
973,sb3_league,sb3_league,N/A,N/A,J1,14,30,30,14,9,2,7
974,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,8,2,6
975,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,8,1,7
976,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,10,3,7
977,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,1,1,0
978,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,5,2,3
979,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,9,4,5
980,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,7,2,5
981,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,11,4,7
982,sb3_league,sb3_league,N/A,N/A,J0,30,25,25,30,12,7,5
983,sb3_league,sb3_league,N/A,N/A,J0,30,27,27,30,13,4,9
984,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,11,3,8
985,sb3_league,sb3_league,N/A,N/A,J1,22,30,30,22,15,2,13
986,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,13,2,11
987,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,11,2,9
988,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,11,3,8
989,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,4,2,2
990,sb3_league,sb3_league,N/A,N/A,J1,24,30,30,24,13,6,7
991,sb3_league,sb3_league,N/A,N/A,J0,30,20,20,30,13,6,7
992,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,10,2,8
993,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,16,5,11
994,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,9,2,7
995,sb3_league,sb3_league,N/A,N/A,J1,9,30,30,9,6,1,5
996,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,3,2,1
997,sb3_league,sb3_league,N/A,N/A,J0,30,4,4,30,4,3,1
998,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,6,4,2
999,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,9,8,1
1000,sb3_league,sb3_league,N/A,N/A,J0,30,4,4,30,5,4,1
